rank,content_hash_id,baseline_score,reason_code,march_impressions,staleness_days
1,content_42ce26be1ec6be00,95.70413143835457,STALE_HIGH_OPPORTUNITY,4411,264.0
2,content_bea86ce3455100b0,94.51317266453076,STALE_HIGH_OPPORTUNITY,3670,232.0
3,content_097459d155cccb26,94.2251986714318,STALE_HIGH_OPPORTUNITY,37930,124.0
4,content_f2df5a8a9057783e,94.20914735549545,STALE_HIGH_OPPORTUNITY,35980,124.0
5,content_ac4e2d9d3bbb06de,94.18485918006542,STALE_HIGH_OPPORTUNITY,33348,124.0
6,content_66d1fffc91f4f029,94.16268301989015,STALE_HIGH_OPPORTUNITY,31038,124.0
7,content_9598a57544925111,94.01880062753344,STALE_HIGH_OPPORTUNITY,24066,123.0
8,content_b956947c822af734,94.00132505442464,STALE_HIGH_OPPORTUNITY,22502,124.0
9,content_19daa2f24df1882d,93.98658818042313,STALE_HIGH_OPPORTUNITY,4968,176.0
10,content_0d2aaf57d7146812,93.93558722649492,STALE_HIGH_OPPORTUNITY,21060,123.0
11,content_b361694d518f80e2,93.84313511184128,STALE_HIGH_OPPORTUNITY,18103,124.0
12,content_283e87bc4e224d58,93.74893923147788,STALE_HIGH_OPPORTUNITY,16388,124.0
13,content_3f962469cb61a7c9,93.72422865299691,STALE_HIGH_OPPORTUNITY,16019,124.0
14,content_dfbc1b6a0f68e28c,93.71292937138382,STALE_HIGH_OPPORTUNITY,15879,124.0
15,content_47da45b084a73115,93.64143765500936,STALE_HIGH_OPPORTUNITY,14774,124.0
16,content_b5bef91d1b43e20c,93.28508784014208,STALE_HIGH_OPPORTUNITY,14738,81.0
17,content_d4f9ff8aa0c03e53,93.09669476729454,STALE_HIGH_OPPORTUNITY,10024,123.0
18,content_4981cb34b411063e,93.08856350856362,STALE_HIGH_OPPORTUNITY,9961,123.0
19,content_4eb8ad7f49ecc286,93.05044163321476,STALE_HIGH_OPPORTUNITY,9737,123.0
20,content_7907f31e6f1c1bfb,92.96326955669808,STALE_HIGH_OPPORTUNITY,9177,124.0
21,content_086c46f7571e2187,92.87048726182928,STALE_HIGH_OPPORTUNITY,43823,36.0
22,content_294143b95f520aee,92.82064370181637,STALE_HIGH_OPPORTUNITY,36053,36.0
23,content_bbfd3de4b02aacb4,92.8082476369969,STALE_HIGH_OPPORTUNITY,8423,124.0
24,content_5929dd70e89b5c02,92.77070521271855,STALE_HIGH_OPPORTUNITY,8352,123.0
